ID,Tipo_Transporte,Nombre,Lineas,Cantidad_Lineas,Lineas_Sentido,Direccion,Barrio,Comuna,Latitud,Longitud,Flag_Coordenada_Anomala,Flag_Duplicado
1,Colectivo,No informado,22|53,2,22:V|53:I,1524 DEFENSA,SAN TELMO,Comuna 1,-34.62565880,-58.3709946,0,0
2,Colectivo,No informado,29,1,29:I,1528 DEFENSA,SAN TELMO,Comuna 1,-34.62571060,-58.3709994,0,0
3,Colectivo,No informado,105,1,105:V,"906 MITRE, BARTOLOME",SAN NICOLAS,Comuna 1,-34.60721560,-58.3796587,0,0
4,Colectivo,No informado,93|70|74,3,93:I|70:V|74:I,51 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.63022580,-58.3706639,0,0
5,Colectivo,No informado,10|22,2,10:I|22:I,389 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.63340970,-58.3703604,0,0
6,Colectivo,No informado,24|46,2,24:I|46:V,435 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.63401180,-58.3702771,0,0
7,Colectivo,No informado,39|93,2,39:V|93:I,471 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.63429930,-58.3702328,0,0
8,Colectivo,No informado,105|98,2,105:V|98:I,"1464 MITRE, BARTOLOME",SAN NICOLAS,Comuna 1,-34.60775698,-58.38715257,0,0
9,Colectivo,No informado,70|74,2,70:V|74:I,673 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.63619960,-58.3699335,0,0
10,Colectivo,No informado,8|7,2,8:V|7:V,"1444 MITRE, BARTOLOME",SAN NICOLAS,Comuna 1,-34.60774163,-58.38690677,0,0
11,Colectivo,No informado,39|93,2,39:V|93:I,717 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.63672290,-58.3698545,0,0
12,Colectivo,No informado,10|24,2,10:I|24:I,761 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.63698730,-58.3698136,0,0
13,Colectivo,No informado,22|46,2,22:I|46:V,787 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.63717100,-58.3697851,0,0
14,Colectivo,No informado,8|7,2,8:V|7:V,"1608 MITRE, BARTOLOME",SAN NICOLAS,Comuna 1,-34.60790029,-58.3894206,0,0
15,Colectivo,No informado,98|105,2,98:I|105:V,"1682 MITRE, BARTOLOME",SAN NICOLAS,Comuna 1,-34.60794204,-58.39033209,0,0
16,Colectivo,No informado,60,1,60:I,1581 RIVADAVIA AV.,SAN NICOLAS,Comuna 1,-34.60899460,-58.3887206,0,0
17,Colectivo,No informado,24|29,2,24:I|29:V,1515 BOLIVAR,SAN TELMO,Comuna 1,-34.62572450,-58.3726637,0,0
18,Colectivo,No informado,90,1,90:I,1635 RIVADAVIA AV.,SAN NICOLAS,Comuna 1,-34.60903720,-58.3895865,0,0
19,Colectivo,No informado,98|151|105,3,98:V|151:I|105:I,1655 RIVADAVIA AV.,SAN NICOLAS,Comuna 1,-34.60906410,-58.3898883,0,0
20,Colectivo,No informado,8|86,2,8:I|86:I,1665 RIVADAVIA AV.,SAN NICOLAS,Comuna 1,-34.60907750,-58.3900789,0,0
21,Colectivo,No informado,22,1,22:I,1589 BOLIVAR,SAN TELMO,Comuna 1,-34.62651670,-58.3726104,0,0
22,Colectivo,No informado,56|64,2,56:I|64:I,1719 RIVADAVIA AV.,SAN NICOLAS,Comuna 1,-34.60913270,-58.3909525,0,0
23,Colectivo,No informado,8|7,2,8:I|7:I,1775 RIVADAVIA AV.,SAN NICOLAS,Comuna 1,-34.60917420,-58.3915424,0,0
24,Colectivo,No informado,24|70,2,24:I|70:V,1125 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.64072530,-58.3692334,0,0
25,Colectivo,No informado,10|74,2,10:I|74:I,1151 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.64083350,-58.3692168,0,0
26,Colectivo,No informado,39|93,2,39:V|93:I,1175 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.64093330,-58.3692015,0,0
27,Colectivo,No informado,12,1,12:I,131 CALLAO AVE,SAN NICOLAS,Comuna 1,-34.60759470,-58.3919606,0,0
28,Colectivo,No informado,37,1,37:V,157 CALLAO AV.,SAN NICOLAS,Comuna 1,-34.60730750,-58.3919813,0,0
29,Colectivo,No informado,33,1,33:I,1353 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.64261940,-58.3689501,0,0
30,Colectivo,No informado,24|70,2,24:I|70:V,1439 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.64326370,-58.3688552,0,0
31,Colectivo,No informado,60,1,60:I,323 CALLAO AV.,SAN NICOLAS,Comuna 1,-34.60539420,-58.3921162,0,0
32,Colectivo,No informado,10|74,2,10:I|74:I,1471 REGIMIENTO DE PATRICIOS AV.,BARRACAS,Comuna 4,-34.64351630,-58.3688177,0,0
