ID_Espacio_Verde,Nombre,Nombre_Mapa,Tipo_Espacio,Clasificacion_Original,Acceso,Direccion,Barrio,Comuna,Tiene_Patio_Juegos,Superficie_m2,Perimetro_m,Latitud,Longitud,Latitud_Centroide,Longitud_Centroide,Metodo_Coordenada,Flag_Centroide_Fuera_Geometria,Distancia_Centroide_Pin_m,Flag_Geometria_Reparada,Cantidad_Partes_Geometria,Flag_Revision_Manual,Motivo_Revision,Criterio_Inclusion,CRS_Coordenadas,Fuente_Archivo
6,Polideportivo Colegiales,Polidep. Colegiales,Parque,PARQUE,No informado,"CONDE - MATIENZO, BENJAMIN, TTE. - FREIRE, RAMON, CAP. GRAL.",Colegiales,13,NO,4686.363924099199,518.4493433990593,-34.5803110909,-58.4447190469,-34.5803110909,-58.4447190469,Centroide geométrico,0,0.00,1,3,1,Polideportivo Colegiales: confirmar proporción de espacio verde y acceso familiar,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
9,Plaza Rafael Hernández,Pza. Rafael Hernández,Plaza,PLAZA,No informado,"ECHEVERRIA - VUELTA DE OBLIGADO - MOM, POLICARPO",Belgrano,13,SI,559.0223647520776,110.23557175400153,-34.5623120757,-58.4551880709,-34.5623120757,-58.4551880709,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
10,Plaza Pques. Nacionales Argentinos,Pza. Pques. Nacionales Argentinos,Plaza,PLAZA,No informado,"ECHEVERRIA - CASTAÑEDA - SUCRE, ANTONIO J. DE, MCAL. - FIGUEROA ALCORTA PRES., AV.",Belgrano,13,NO,12170.747459362827,436.4721894177015,-34.5524659253,-58.4369918730,-34.5524659253,-58.4369918730,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
26,Plaza Barrio Marcelo T de Alvear,Pza. Barrio Marcelo T de Alvear,Plaza,PLAZA,No informado,"DIRECTORIO, AV. - OLIVERA, AV. - RODO, JOSE E. - FERNANDEZ (BARRIO MARCELO T. DE ALVEAR)",Parque Avellaneda,9,NO,36224.06433209898,4957.031090284299,-34.6434351249,-58.4838540849,-34.6434351249,-58.4838540849,Centroide geométrico,0,0.00,0,27,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
53,Plaza Tupac Amarú,Pza. Tupac Amarú,Plaza,PLAZA,No informado,"SAN PEDRITO, AV. - PERON, EVA, AV. - PRIMERA JUNTA (D) - LAFUENTE, AV.",Flores,7,SI,1964.6887491747004,446.2159891133753,-34.6423486914,-58.4622471050,-34.6423728216,-58.4619242116,Punto representativo interno del componente principal,1,29.72,0,4,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
70,Plaza Irlanda,Pza. Irlanda,Plaza,PLAZA,No informado,"GAONA, AV. - ALVAREZ, DONATO, TTE. GRAL., AV. - NEUQUEN - SEGUI, F.J., ALMTE.",Caballito,6,SI,37603.00460489184,5076.73764982689,-34.6140425377,-58.4575097991,-34.6146059084,-58.4578158834,Punto representativo interno del componente principal,1,68.50,0,18,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
107,Plaza Alemania,Pza. Alemania,Plaza,PLAZA,No informado,"DEL LIBERTADOR, AV. - CASARES, AV. - CASTEX - CAVIA",Palermo,14,SI,24955.93333897485,3328.6728480595275,-34.5764806763,-58.4090309834,-34.5767644015,-58.4082664077,Punto representativo interno del componente principal,1,76.88,0,29,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
117,Plaza Brig. Gral. J. M. Zapiola,Pza. Brig. Gral. J. M. Zapiola,Plaza,PLAZA,No informado,"ACHA, MARIANO - JURAMENTO - DONADO - ECHEVERRIA",Villa Urquiza,12,SI,5378.668755020476,2095.567693925374,-34.5732736603,-58.4754653460,-34.5736061093,-58.4751701361,Punto representativo interno del componente principal,1,45.75,0,28,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
160,Ing. Agr. Benito J. Carrasco,Pque. Punta Carrasco,Parque,PARQUE,No informado,"OBLIGADO, RAFAEL, AV. COSTANERA (MURALLON) -SALGUERO, JERONIMO, PROLONGACION IMAGINARIA - SARMIENTO, AV., PROLONGACION IMAGINARIA - RIO DE LA PLATA",Palermo,14,SI,70716.69421384232,8836.027345549326,-34.5649504394,-58.4012610542,-34.5659937009,-58.3997236209,Punto representativo interno del componente principal,1,182.45,0,68,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
171,Parque Brig. Gral. Cornelio Saavedra,Pque. Brig. Gral. Cornelio Saavedra,Parque,PARQUE,No informado,"GARCIA DEL RIO, AV. - MELIAN, AV. - VILELA - PEREZ, ROQUE - BESARES - CONDE - PINTO - FREIRE, RAMON, CAP. GRAL.",Saavedra,12,SI,96070.01479020756,6728.181069924909,-34.5506333674,-58.4800647399,-34.5506333674,-58.4800647399,Centroide geométrico,0,0.00,1,20,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
