ID,Tipo_Transporte,Nombre,Corredor,Lineas,Lineas_Sentido,Direccion,Barrio,Comuna,Latitud,Longitud,Flag_Coordenada_Anomala,Flag_Duplicado
METROBUS_000001,Metrobus,PUENTE SAAVEDRA,No informado,19|130,19:V|130:V,5000 CABILDO AV.,SAAVEDRA,Comuna 12,-34.5391323,-58.4760074,0,0
METROBUS_000002,Metrobus,PUENTE SAAVEDRA,No informado,59|71|151|152,59:V|71:No informado|151:No informado|152:V,5070 CABILDO AV.,SAAVEDRA,Comuna 12,-34.5389417,-58.4760952,0,0
METROBUS_000003,Metrobus,PUENTE SAAVEDRA,No informado,59|184,59:V|184:V,5000 CABILDO AVE,SAAVEDRA,Comuna 12,-34.5390321,-58.4758293,0,0
METROBUS_000004,Metrobus,GRAL PAZ,No informado,68|133,68:V|133:V,4994 CABILDO AV.,SAAVEDRA,Comuna 12,-34.5397638,-58.4753583,0,0
METROBUS_000005,Metrobus,PUENTE SAAVEDRA,No informado,21|60|168,21:I|60:I|168:No informado,4995 CABILDO AV.,SAAVEDRA,Comuna 12,-34.5396533,-58.4752184,0,0
METROBUS_000006,Metrobus,PUENTE SAAVEDRA,No informado,19|71|161,19:I|71:No informado|161:No informado,4995 CABILDO AV.,SAAVEDRA,Comuna 12,-34.5394398,-58.4753779,0,0
METROBUS_000007,Metrobus,PUENTE SAAVEDRA,No informado,59|184,59:I|184:I,4999 CABILDO AVE,NUÑEZ,Comuna 13,-34.5389588,-58.4756879,0,0
METROBUS_000008,Metrobus,PUENTE SAAVEDRA,No informado,130|152,130:I|152:I,5000 CABILDO AVE,NUÑEZ,Comuna 13,-34.5387075,-58.47584,0,0
METROBUS_000009,Metrobus,PICO,No informado,133|184,133:V|184:V,4760 CABILDO AV.,SAAVEDRA,Comuna 12,-34.5410238,-58.474261,0,0
METROBUS_000010,Metrobus,DEHEZA,No informado,68|152,68:V|152:V,4660 CABILDO AV.,SAAVEDRA,Comuna 12,-34.5417732,-58.4736736,0,0
METROBUS_000011,Metrobus,CORREA,No informado,133|184,133:V|184:V,4360 CABILDO AV.,SAAVEDRA,Comuna 12,-34.5441514,-58.4719393,0,0
METROBUS_000012,Metrobus,BESARES,No informado,168|184,168:I|184:I,4189 CABILDO AV.,NUÑEZ,Comuna 13,-34.545462,-58.4707748,0,0
METROBUS_000013,Metrobus,MANZANARES,No informado,68|133|152,68:No informado|133:V|152:V,3850 CABILDO AV.,SAAVEDRA,Comuna 12,-34.5478402,-58.4692464,0,0
METROBUS_000014,Metrobus,CRISOLOGO LARRALDE,No informado,57|194,57:I|194:I,3723 CABILDO AV.,NUÑEZ,Comuna 13,-34.5487015,-58.4681995,0,0
METROBUS_000015,Metrobus,JUANA AZURDUY,No informado,133|184,133:V|184:V,3554 CABILDO AV.,NUÑEZ,Comuna 13,-34.5504579,-58.4671615,0,0
METROBUS_000016,Metrobus,JUANA AZURDUY,No informado,161|168,161:V|168:V,3514 CABILDO AV.,NUÑEZ,Comuna 13,-34.55073,-58.46694,0,0
METROBUS_000017,Metrobus,MANUELA PEDRAZA,No informado,68|152,68:V|152:V,3470 CABILDO AV.,NUÑEZ,Comuna 13,-34.55115,-58.4666036,0,0
METROBUS_000018,Metrobus,MANUELA PEDRAZA,No informado,59|60,59:V|60:V,3432 CABILDO AV.,NUÑEZ,Comuna 13,-34.55153,-58.4663039,0,0
METROBUS_000019,Metrobus,QUESADA,No informado,29|57|194,29:V|57:V|194:No informado,3070 CABILDO AV.,NUÑEZ,Comuna 13,-34.55387,-58.4643811,0,0
METROBUS_000020,Metrobus,QUESADA,No informado,133|168|184,133:V|168:V|184:V,3030 CABILDO AV.,NUÑEZ,Comuna 13,-34.55429,-58.463957,0,0
METROBUS_000021,Metrobus,CONGRESO,No informado,68|152|161,68:No informado|152:V|161:V,2978 CABILDO AV.,NUÑEZ,Comuna 13,-34.55493,-58.4633255,0,0
METROBUS_000022,Metrobus,CONGRESO,No informado,59|60,59:V|60:V,2940 CABILDO AV.,NUÑEZ,Comuna 13,-34.55527,-58.4629759,0,0
METROBUS_000023,Metrobus,CONGRESO,No informado,29|60,29:I|60:I,2995 CABILDO AV.,NUÑEZ,Comuna 13,-34.55467,-58.4631187,0,0
METROBUS_000024,Metrobus,SANCHEZ DE LORIA,No informado,143,143:I,3271 CHICLANA AV.,PARQUE PATRICIOS,Comuna 4,-34.6339519,-58.4106392,0,0
METROBUS_000025,Metrobus,LA RIOJA,No informado,143,143:I,3021 CHICLANA AV.,PARQUE PATRICIOS,Comuna 4,-34.6307032,-58.4068037,0,0
METROBUS_000026,Metrobus,LA RIOJA,No informado,6|97|143,6:V|97:No informado|143:V,3020 BRASIL,PARQUE PATRICIOS,Comuna 4,-34.63391,-58.4064342,0,0
METROBUS_000027,Metrobus,ENTRE RIOS,No informado,6|97|143,6:V|97:No informado|143:V,2000 BRASIL,PARQUE PATRICIOS,Comuna 4,-34.62986,-58.3932219,0,0
METROBUS_000028,Metrobus,JUJUY,No informado,97|6|143,97:No informado|6:V|143:V,2638 BRASIL,PARQUE PATRICIOS,Comuna 4,-34.6317651,-58.4009006,0,0
METROBUS_000029,Metrobus,No informado,No informado,126,126:I,"126 ALEM, LEANDRO N. AV.",SAN NICOLAS,Comuna 1,-34.606309,-58.3703431,0,0
METROBUS_000030,Metrobus,PICHINCHA,No informado,143,143:I,"2283 GARAY, JUAN DE AV.",SAN CRISTOBAL,Comuna 3,-34.6279973,-58.3964462,0,0
METROBUS_000031,Metrobus,JUJUY,No informado,4|143,4:V|143:I,"2400 GARAY, JUAN DE AV.",SAN CRISTOBAL,Comuna 3,-34.6285938,-58.4006175,0,0
METROBUS_000032,Metrobus,MITRE,No informado,10|17,10:I|17:I,"34 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.60822,-58.3812416,0,0
METROBUS_000033,Metrobus,MITRE,No informado,59,59:I,"52 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.6075675,-58.3813051,0,0
METROBUS_000034,Metrobus,PERON,No informado,45|70,45:V|70:I,"134 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.60706,-58.3813201,0,0
METROBUS_000035,Metrobus,PERON,No informado,100|39,100:No informado|39:V,"174 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.6063572,-58.3813776,0,0
METROBUS_000036,Metrobus,OBELSCO SUR,No informado,9|67,9:I|67:V,"214 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.6057,-58.3813872,0,0
METROBUS_000037,Metrobus,OBELSCO SUR,No informado,129,129:No informado,"251 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.60527,-58.3814211,0,0
METROBUS_000038,Metrobus,OBELISCO NORTE,No informado,17|100,17:I|100:No informado,"530 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.6022988,-58.3815806,0,0
METROBUS_000039,Metrobus,OBELISCO NORTE,No informado,59,59:No informado,"570 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.6017534,-58.3815878,0,0
METROBUS_000040,Metrobus,TEATRO COLON,No informado,45|70,45:No informado|70:No informado,"640 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.6011065,-58.3816184,0,0
METROBUS_000041,Metrobus,TEATRO COLON,No informado,10|39,10:No informado|39:V,"645 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.6005385,-58.3816713,0,0
METROBUS_000042,Metrobus,CORDOBA,No informado,9,9:I,"744 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.5999471,-58.3816753,0,0
METROBUS_000043,Metrobus,CORDOBA,No informado,67,67:V,"737 PELLEGRINI, CARLOS",SAN NICOLAS,Comuna 1,-34.5995237,-58.381696,0,0
METROBUS_000044,Metrobus,PARAGUAY,No informado,17|10,17:I|10:I,"833 PELLEGRINI, CARLOS",RETIRO,Comuna 1,-34.5987484,-58.3817786,0,0
METROBUS_000045,Metrobus,PARAGUAY,No informado,59,59:No informado,"840 PELLEGRINI, CARLOS",RETIRO,Comuna 1,-34.5982227,-58.3818096,0,0
METROBUS_000046,Metrobus,MARCELO T DE ALVEAR,No informado,129,129:No informado,"984 PELLEGRINI, CARLOS",RETIRO,Comuna 1,-34.5970103,-58.3819003,0,0
METROBUS_000047,Metrobus,SANTA FE,No informado,100|39,100:No informado|39:V,"1018 PELLEGRINI, CARLOS",RETIRO,Comuna 1,-34.5964015,-58.3819846,0,0
METROBUS_000048,Metrobus,SANTA FE,No informado,67|70,67:V|70:No informado,"1055 PELLEGRINI, CARLOS",RETIRO,Comuna 1,-34.5958869,-58.3820415,0,0
METROBUS_000049,Metrobus,SANTA FE,No informado,67|70,67:I|70:No informado,1051 CERRITO,RETIRO,Comuna 1,-34.5959071,-58.3822446,0,0
METROBUS_000050,Metrobus,SANTA FE,No informado,100,100:No informado,1021 CERRITO,RETIRO,Comuna 1,-34.5964246,-58.3821772,0,0
METROBUS_000051,Metrobus,MARCELO T DE ALVEAR,No informado,129,129:No informado,933 CERRITO,RETIRO,Comuna 1,-34.5970609,-58.3821066,0,0
METROBUS_000052,Metrobus,PARAGUAY,No informado,10|17,10:V|17:V,851 CERRITO,RETIRO,Comuna 1,-34.5982443,-58.3820285,0,0
METROBUS_000053,Metrobus,PARAGUAY,No informado,59,59:No informado,841 CERRITO,RETIRO,Comuna 1,-34.59878,-58.3819708,0,0
METROBUS_000054,Metrobus,CORDOBA,No informado,9,9:V,741 CERRITO,SAN NICOLAS,Comuna 1,-34.5995285,-58.3819634,0,0
METROBUS_000055,Metrobus,CORDOBA,No informado,67,67:I,737 CERRITO,SAN NICOLAS,Comuna 1,-34.5999559,-58.3819012,0,0
METROBUS_000056,Metrobus,TEATRO COLON,No informado,45|70,45:No informado|70:No informado,657 CERRITO,SAN NICOLAS,Comuna 1,-34.6005305,-58.3819139,0,0
METROBUS_000057,Metrobus,TEATRO COLON,No informado,10|39,10:No informado|39:I,637 CERRITO,SAN NICOLAS,Comuna 1,-34.6011023,-58.3818841,0,0
METROBUS_000058,Metrobus,OBELISCO NORTE,No informado,17|100,17:V|100:No informado,545 CERRITO,SAN NICOLAS,Comuna 1,-34.6017411,-58.3818412,0,0
METROBUS_000059,Metrobus,OBELISCO NORTE,No informado,59,59:No informado,525 CERRITO,SAN NICOLAS,Comuna 1,-34.60231,-58.3818011,0,0
METROBUS_000060,Metrobus,OBELSCO SUR,No informado,129,129:No informado,241 CERRITO,SAN NICOLAS,Comuna 1,-34.6052752,-58.3816672,0,0
METROBUS_000061,Metrobus,PERON,No informado,45|70,45:No informado|70:No informado,151 CERRITO,SAN NICOLAS,Comuna 1,-34.6063595,-58.3815716,0,0
METROBUS_000062,Metrobus,MITRE,No informado,10|17,10:V|17:V,71 CERRITO,SAN NICOLAS,Comuna 1,-34.60758,-58.3815168,0,0
METROBUS_000063,Metrobus,LADINES,No informado,57|78|87|123|176,57:V|78:I|87:V|123:No informado|176:No informado,7210 SAN MARTIN AV.,VILLA DEVOTO,Comuna 11,-34.59034,-58.5157464,0,0
METROBUS_000064,Metrobus,LADINES,No informado,57|78|87|123|176,57:I|78:I|87:I|123:No informado|176:No informado,7181 SAN MARTIN AV.,VILLA DEVOTO,Comuna 11,-34.59043,-58.5149171,0,0
