ID,Tipo_Transporte,Nombre,Linea,Direccion,Barrio,Comuna,Latitud,Longitud,Flag_Coordenada_Anomala,Flag_Duplicado
1,Subte,Caseros,H,No informado,No informado,No informado,-34.63574869190404,-58.398930404056664,0,0
2,Subte,Inclan - Mezquita Al Ahmad,H,No informado,No informado,No informado,-34.629374324650314,-58.400972334211815,0,0
3,Subte,Humberto 1°,H,No informado,No informado,No informado,-34.62309113761142,-58.40232549651671,0,0
4,Subte,Venezuela,H,No informado,No informado,No informado,-34.61524116028971,-58.404734437166375,0,0
5,Subte,Once - 30 De Diciembre,H,No informado,No informado,No informado,-34.60893439989664,-58.40603909181976,0,0
6,Subte,9 De Julio,D,No informado,No informado,No informado,-34.60424434385433,-58.38057816074685,0,0
7,Subte,Facultad De Medicina,D,No informado,No informado,No informado,-34.59975640870826,-58.39792687400386,0,0
8,Subte,Tribunales - Teatro Colón,D,No informado,No informado,No informado,-34.601586388942174,-58.38514600302589,0,0
9,Subte,Agüero,D,No informado,No informado,No informado,-34.59162740214711,-58.407164107307096,0,0
10,Subte,R.Scalabrini Ortiz,D,No informado,No informado,No informado,-34.5851556929868,-58.4159578817373,0,0
11,Subte,Plaza Italia,D,No informado,No informado,No informado,-34.5814110535123,-58.421198278781375,0,0
12,Subte,Palermo,D,No informado,No informado,No informado,-34.578421972901005,-58.42571354086816,0,0
13,Subte,Retiro,C,No informado,No informado,No informado,-34.59119321488052,-58.37402240381632,0,0
14,Subte,Lavalle,C,No informado,No informado,No informado,-34.60176910856247,-58.378159720315566,0,0
15,Subte,Diagonal Norte,C,No informado,No informado,No informado,-34.60484286205875,-58.37953383769559,0,0
16,Subte,Av. De Mayo,C,No informado,No informado,No informado,-34.60898234787075,-58.38061450046986,0,0
17,Subte,Moreno,C,No informado,No informado,No informado,-34.612616229073836,-58.380448233244984,0,0
18,Subte,Independencia,C,No informado,No informado,No informado,-34.618124421551606,-58.38017734615888,0,0
19,Subte,Constitucion,C,No informado,No informado,No informado,-34.627618063975376,-58.38143804863668,0,0
20,Subte,Florida,B,No informado,No informado,No informado,-34.60329642125253,-58.37507557490589,0,0
21,Subte,C. Pellegrini,B,No informado,No informado,No informado,-34.60363626062853,-58.38071866341278,0,0
22,Subte,Uruguay,B,No informado,No informado,No informado,-34.604092730256646,-58.38729966906588,0,0
23,Subte,Callao - Maestro Alfredo Bravo,B,No informado,No informado,No informado,-34.604418737076664,-58.39231755671001,0,0
24,Subte,Pasteur - Amia,B,No informado,No informado,No informado,-34.60464219201641,-58.39947727482585,0,0
25,Subte,Pueyrredon,B,No informado,No informado,No informado,-34.6045803098221,-58.405402208624345,0,0
26,Subte,Carlos Gardel,B,No informado,No informado,No informado,-34.604078814375725,-58.41176510373516,0,0
27,Subte,Almagro - Medrano,B,No informado,No informado,No informado,-34.60316426400566,-58.42096459307871,0,0
28,Subte,Angel Gallardo,B,No informado,No informado,No informado,-34.60216166561987,-58.431275555639985,0,0
29,Subte,Malabia - Osvaldo Pugliese,B,No informado,No informado,No informado,-34.59896691493091,-58.439772858444194,0,0
30,Subte,Dorrego,B,No informado,No informado,No informado,-34.59171790789488,-58.44757417574107,0,0
31,Subte,Peru,A,No informado,No informado,No informado,-34.608558085581826,-58.3742717794385,0,0
32,Subte,Piedras,A,No informado,No informado,No informado,-34.60888074907816,-58.37908900065684,0,0
33,Subte,Lima,A,No informado,No informado,No informado,-34.60909884479506,-58.382236114316925,0,0
34,Subte,Saenz Peña,A,No informado,No informado,No informado,-34.60941163979187,-58.38678071351404,0,0
35,Subte,Congreso - Pdte. Dr. Raúl Alfonsín,A,No informado,No informado,No informado,-34.60922477063858,-58.392672097001295,0,0
36,Subte,Pasco,A,No informado,No informado,No informado,-34.60964506657074,-58.398430018353146,0,0
37,Subte,Alberti,A,No informado,No informado,No informado,-34.60983269261519,-58.40121044219303,0,0
38,Subte,Plaza De Miserere,A,No informado,No informado,No informado,-34.60981638710716,-58.40670979270381,0,0
39,Subte,Loria,A,No informado,No informado,No informado,-34.610780851367856,-58.41518802065098,0,0
40,Subte,Castro Barros,A,No informado,No informado,No informado,-34.61176939995314,-58.42181769657279,0,0
41,Subte,Rio De Janeiro,A,No informado,No informado,No informado,-34.61520474044249,-58.42950199987938,0,0
